Date,Open,High,Low,Close,Volume,Count,WAP
20230322 13:14:15 America/Los_Angeles,26989.375,26998.375,26989.375,26998.375,-1,-1,-1
20230322 13:14:20 America/Los_Angeles,26998.375,26998.375,26988.375,26988.375,-1,-1,-1
20230322 13:14:25 America/Los_Angeles,26988.375,26988.375,26973.625,26976.75,-1,-1,-1
20230322 13:14:30 America/Los_Angeles,26976.75,26977.0,26966.75,26974.875,-1,-1,-1
20230322 13:14:35 America/Los_Angeles,26974.875,26989.375,26974.875,26989.375,-1,-1,-1
20230322 13:14:40 America/Los_Angeles,26989.375,26989.375,26989.375,26989.375,-1,-1,-1
20230322 13:14:45 America/Los_Angeles,26989.375,26989.375,26989.375,26989.375,-1,-1,-1
20230322 13:14:50 America/Los_Angeles,26989.375,26989.375,26989.375,26989.375,-1,-1,-1
20230322 13:14:55 America/Los_Angeles,26989.375,26989.375,26989.375,26989.375,-1,-1,-1
20230322 13:15:00 America/Los_Angeles,26989.375,26997.875,26989.375,26997.875,-1,-1,-1
20230322 13:15:05 America/Los_Angeles,26997.875,26997.875,26987.125,26988.875,-1,-1,-1
20230322 13:15:10 America/Los_Angeles,26988.875,26988.875,26988.625,26988.875,-1,-1,-1
20230322 13:15:15 America/Los_Angeles,26988.875,26993.125,26988.375,26993.125,-1,-1,-1
20230322 13:15:20 America/Los_Angeles,26993.125,26999.625,26993.125,26999.625,-1,-1,-1
20230322 13:15:25 America/Los_Angeles,26999.625,26999.625,26995.75,26995.875,-1,-1,-1
20230322 13:15:30 America/Los_Angeles,26995.875,26995.875,26995.625,26995.625,-1,-1,-1
20230322 13:15:35 America/Los_Angeles,26995.625,26995.625,26974.125,26984.875,-1,-1,-1
20230322 13:15:40 America/Los_Angeles,26984.875,26984.875,26977.625,26978.125,-1,-1,-1
20230322 13:15:45 America/Los_Angeles,26978.125,26978.125,26975.375,26975.375,-1,-1,-1
20230322 13:15:50 America/Los_Angeles,26975.375,26986.375,26975.375,26986.375,-1,-1,-1
20230322 13:15:55 America/Los_Angeles,26986.375,27012.5,26986.375,27012.5,-1,-1,-1
20230322 13:16:00 America/Los_Angeles,27012.5,27013.375,27004.625,27006.125,-1,-1,-1
20230322 13:16:05 America/Los_Angeles,27006.125,27023.25,27006.125,27023.125,-1,-1,-1
20230322 13:16:10 America/Los_Angeles,27023.125,27034.125,27023.125,27032.875,-1,-1,-1
20230322 13:16:15 America/Los_Angeles,27032.875,27044.875,27032.75,27044.875,-1,-1,-1
20230322 13:16:20 America/Los_Angeles,27044.875,27055.875,27044.875,27055.875,-1,-1,-1
20230322 13:16:25 America/Los_Angeles,27055.875,27081.75,27055.875,27081.75,-1,-1,-1
20230322 13:16:30 America/Los_Angeles,27081.75,27096.125,27075.25,27075.625,-1,-1,-1
20230322 13:16:35 America/Los_Angeles,27075.625,27086.125,27074.125,27074.125,-1,-1,-1
20230322 13:16:40 America/Los_Angeles,27074.125,27074.375,27072.375,27072.375,-1,-1,-1
20230322 13:16:45 America/Los_Angeles,27072.375,27092.0,27072.375,27075.375,-1,-1,-1
20230322 13:16:50 America/Los_Angeles,27075.375,27076.875,27073.625,27073.625,-1,-1,-1
20230322 13:16:55 America/Los_Angeles,27073.625,27083.375,27073.625,27075.125,-1,-1,-1
20230322 13:17:00 America/Los_Angeles,27075.125,27092.125,27075.125,27089.375,-1,-1,-1
20230322 13:17:05 America/Los_Angeles,27089.375,27114.125,27089.25,27114.125,-1,-1,-1
20230322 13:17:10 America/Los_Angeles,27114.125,27171.375,27114.125,27164.5,-1,-1,-1
20230322 13:17:15 America/Los_Angeles,27164.5,27204.75,27151.625,27181.25,-1,-1,-1
20230322 13:17:20 America/Los_Angeles,27181.25,27184.875,27162.0,27162.625,-1,-1,-1
20230322 13:17:25 America/Los_Angeles,27162.625,27190.0,27162.625,27188.125,-1,-1,-1
20230322 13:17:30 America/Los_Angeles,27188.125,27212.0,27187.75,27209.0,-1,-1,-1
20230322 13:17:35 America/Los_Angeles,27209.0,27224.375,27200.75,27221.375,-1,-1,-1
20230322 13:17:40 America/Los_Angeles,27221.375,27225.125,27210.375,27210.5,-1,-1,-1
20230322 13:17:45 America/Los_Angeles,27210.5,27210.625,27200.125,27200.125,-1,-1,-1
20230322 13:17:50 America/Los_Angeles,27200.125,27211.875,27200.125,27204.625,-1,-1,-1
20230322 13:17:55 America/Los_Angeles,27204.625,27205.25,27200.25,27205.25,-1,-1,-1
20230322 13:18:00 America/Los_Angeles,27205.25,27230.875,27205.25,27210.375,-1,-1,-1
20230322 13:18:05 America/Los_Angeles,27210.375,27211.25,27187.125,27193.375,-1,-1,-1
20230322 13:18:10 America/Los_Angeles,27193.375,27193.375,27174.75,27174.875,-1,-1,-1
20230322 13:18:15 America/Los_Angeles,27174.875,27178.375,27171.875,27174.375,-1,-1,-1
20230322 13:18:20 America/Los_Angeles,27174.375,27186.875,27174.375,27179.625,-1,-1,-1
20230322 13:18:25 America/Los_Angeles,27179.625,27179.625,27171.875,27172.125,-1,-1,-1
20230322 13:18:30 America/Los_Angeles,27172.125,27172.125,27172.125,27172.125,-1,-1,-1
20230322 13:18:35 America/Los_Angeles,27172.125,27181.75,27172.125,27172.25,-1,-1,-1
20230322 13:18:40 America/Los_Angeles,27172.25,27172.25,27164.625,27164.625,-1,-1,-1
20230322 13:18:45 America/Los_Angeles,27164.625,27186.125,27163.125,27186.0,-1,-1,-1
20230322 13:18:50 America/Los_Angeles,27186.0,27186.125,27175.125,27175.125,-1,-1,-1
20230322 13:18:55 America/Los_Angeles,27175.125,27175.125,27168.0,27168.125,-1,-1,-1
20230322 13:19:00 America/Los_Angeles,27168.125,27168.125,27166.625,27166.625,-1,-1,-1
20230322 13:19:05 America/Los_Angeles,27166.625,27179.125,27166.625,27178.625,-1,-1,-1
20230322 13:19:10 America/Los_Angeles,27178.625,27186.375,27178.625,27186.375,-1,-1,-1
20230322 13:19:15 America/Los_Angeles,27186.375,27197.875,27186.375,27197.875,-1,-1,-1
20230322 13:19:20 America/Los_Angeles,27197.875,27197.875,27186.875,27186.875,-1,-1,-1
20230322 13:19:25 America/Los_Angeles,27186.875,27186.875,27181.125,27181.125,-1,-1,-1
20230322 13:19:30 America/Los_Angeles,27181.125,27181.125,27176.75,27176.75,-1,-1,-1
20230322 13:19:35 America/Los_Angeles,27176.75,27176.75,27156.375,27156.5,-1,-1,-1
20230322 13:19:40 America/Los_Angeles,27156.5,27157.375,27146.625,27146.625,-1,-1,-1
20230322 13:19:45 America/Los_Angeles,27146.625,27151.875,27136.125,27151.875,-1,-1,-1
